,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,svalue
Ttpal,1013.3406661818,0.196964288256604,0.0629211135106079,3.27594807984755,0.0010530791842541,0.00282982608379611,0.859950104828863
Dido1,1957.15632376723,0.195714390844639,0.0456868756322439,4.3895076975475,1.13607557276379e-05,4.5401408420707e-05,0.865201975897781
Fubp3,1276.66125759413,0.195575053838124,0.0592307978254774,3.43810169871188,0.000585807642606542,0.00169526827077914,0.871811685846329
Mrps5,647.090983565319,0.19534106778688,0.0604356632858958,3.3709009080297,0.000749228021587918,0.00208522390702148,0.900838235143195
Aqr,1933.91543542367,0.192609506303661,0.0424655822375671,4.6321223274629,3.61936182846548e-06,1.58583283327544e-05,0.860403340735566
Cops2,1652.24885303937,0.191136020706447,0.0815298413574716,2.52473201271731,0.0115786546834449,0.024153560725886,0.849963938390573
Nelfcd,861.830887596246,0.190841303502152,0.0645491599168201,3.10042387906791,0.00193243877286783,0.00492591285326823,0.916566019898046
Fam188a,611.681998467279,0.190199120849477,0.0716877460380761,2.81179597240715,0.0049265742213101,0.0114116613066864,0.91372926457458
Polr1b,536.420084675824,0.189719667850731,0.0624579326543281,3.17597637771861,0.00149333110824388,0.00394485287916242,0.919146452272333
Arfgap1,2191.81778778857,0.188388940693957,0.0676543909465707,2.93295870896763,0.00335748541363276,0.00810401899617995,0.919373144462224
Psmd5,941.983679432641,0.187288448213021,0.0620411398973445,3.15425742547272,0.0016090708327027,0.00421994297711212,0.874057320546831
H13,4049.08060025399,0.186338069274055,0.0626122518164857,3.11195842359063,0.00185850671469232,0.00479036795093254,0.917365195952662
Zmynd19,324.478955734327,0.185205283831306,0.0906195883644647,2.23622568676444,0.0253369914323005,0.0475777240148706,0.904883422904718
Rtel1,819.313345420134,0.184897692086218,0.0835193134150332,2.39169131956243,0.0167709406513694,0.0330869733284703,0.850742672274359
Jph2,2466.89284394859,0.184501335764726,0.0689664206461925,2.82284454240219,0.00475996459618728,0.0110727534636254,0.861077720732012
Mrpl41,293.729993275473,0.183275238891934,0.0902709323146099,2.21986677826318,0.0264278122467457,0.0491188128810896,0.894405464595569
Cstf1,579.146623364375,0.182703594126593,0.0699771368855237,2.75895455226085,0.00579865987223044,0.0132073860555395,0.871237708320268
Traf2,838.602495919607,0.182051323957024,0.065005786772369,2.9377793692025,0.00330572184983418,0.00799676837731506,0.86645396992969
Man1b1,2778.72898456391,0.180018809948143,0.061717806421085,3.04557605064156,0.00232235038086698,0.00577149035427306,0.918071476329135
Top1,1860.77737694747,0.176891979025731,0.0523069104023161,3.48901035981074,0.000484812359022241,0.00142185560132598,0.884972352766106
Dync1i2,3017.08183486091,0.176334086808372,0.045436376483966,3.97379101065795,7.07376365512961e-05,0.000243453506238057,0.910600274170549
Frmd4a,1328.47739348475,0.174779155051594,0.071894491709785,2.57561377512252,0.0100062347017549,0.0212803159056814,0.904356169151419
Snrpb2,713.228500515533,0.172738916259354,0.0757450152157063,2.43064169874387,0.0150721112316741,0.0301513465980302,0.880676714487662
Mapre1,3576.68468178135,0.171750025636083,0.0657350969662941,2.74259350605171,0.00609560921616131,0.0137771117911183,0.920414450714557
Rpap1,869.460861740125,0.171282283943054,0.0700356069456847,2.58338545711829,0.00978359480932904,0.020888262107589,0.873503320490586
D2Wsu81e,601.71766636676,0.17030318494405,0.0793076110037725,2.30188348090622,0.0213417440308217,0.0409206375002222,0.852022752272006
Wdr5,1156.42896090431,0.169511666328698,0.0549957806620628,3.18950799198963,0.00142515198429691,0.00378306767607768,0.858107343050295
Agps,1217.75300079383,0.167998275819679,0.0767937397692137,2.33515123224306,0.0195355217364211,0.0380593825257775,0.889112165262956
Naa20,819.041544048317,0.166426985791945,0.0737432277082285,2.39713388353392,0.0165238848609949,0.0327178918028048,0.876402957843237
Blcap,1039.69627373888,0.166286857567562,0.0506388656054393,3.38041958624763,0.000723752498456244,0.00202465122004042,0.891755664459949
Tubgcp4,1090.81103375441,0.165895457034997,0.0788934722103248,2.25210948777879,0.0243153538804527,0.0461357410149112,0.860853652539645
Vps16,1367.41792764217,0.164015506546211,0.0727598126966348,2.39042491369118,0.0168288899026009,0.0331021854894033,0.876225630666542
Surf6,517.490020338106,0.16260588357949,0.0697226702864125,2.4615485972529,0.0138338654938591,0.0282369572408385,0.868288953548977
Anapc1,5077.93090696245,0.158643695880855,0.0433317356004124,3.73951255751895,0.000184377437799283,0.000586460013524833,0.849702551523658
Nat10,904.696558874583,0.154749998748431,0.0736835347273058,2.22951484593998,0.0257796686359461,0.0482763238074765,0.863926284817949
Rmdn3,696.067189745078,0.154456994913367,0.0668986720987704,2.42607738773278,0.0152630152377129,0.0304423210682721,0.852528657392444
Chmp4b,4409.02230679786,0.153843127609321,0.0378964099305299,4.12573120501672,3.69558699943577e-05,0.000134396180546148,0.864354189582672
Ddx27,898.337198278071,0.153706699727447,0.053979630230943,2.94165506535125,0.0032646334701649,0.00791492247988867,0.900724124941979
Aar2,656.28384592295,0.148268885702504,0.0610561292105239,2.53068521769034,0.0113839962910472,0.0238386563407533,0.91876578585177
Zfp217,1127.8432418779,0.14206281087262,0.0562780092478531,2.6141905652006,0.00894391355236602,0.0192082867827388,0.854763071674376
Fkbp1a,5363.27604638121,0.14115537716976,0.0593932712097314,2.47083137183372,0.0134799365603512,0.0276440052393669,0.861523699156629
Sys1,696.693788687998,0.140226340440732,0.0644854951300218,2.2761126334093,0.0228392691362922,0.0435623122861796,0.915420847622137
Ext2,4553.19657380566,0.139311458963516,0.0396589011032271,3.57462403291854,0.000350731517679381,0.00105703891101714,0.859264705668156
Snrpb,3197.76677085345,0.135053879453526,0.0486386841509666,2.85006700794634,0.00437100193780696,0.0102775067115245,0.86808756051159
Kif3b,1143.98418136459,0.132552154868253,0.0459682978619984,2.9514725151261,0.00316262691434901,0.0076846903419928,0.886186364874116
Tm9sf4,3266.51225875228,0.111305823190118,0.0419413345532145,2.70501809925405,0.00683006679591327,0.0152073528047783,0.86240712053362
Nckap1,4926.50974520929,0.107878510292165,0.0489332515458511,2.26243753510213,0.0236703840697441,0.0449902247736773,0.918842205620489
Ptpra,4305.39052906506,-0.110619878249751,0.0450873456451543,-2.50814441835643,0.0121367052061389,0.025221229295043,0.886635038862785
Itch,2085.84162631218,-0.112020790892391,0.0512538178422358,-2.24871791247003,0.0245304488113566,0.0464630549534549,0.877107214493703
Trim44,3551.3057141491,-0.112887509979822,0.0364060404004301,-3.14583673454794,0.00165612426756303,0.00432654153110537,0.90129206473064
Gnas,30581.5950676779,-0.113646845760949,0.0529099090686329,-2.21412338033811,0.0268202926958281,0.0495948124256754,0.907434833234527
Rtf1,1609.77388418585,-0.117041011706048,0.0478833789479321,-2.50605715836156,0.012208588213734,0.0253223759338095,0.878148678777655
Gzf1,813.729631323205,-0.118060546231137,0.0531898318466292,-2.28894418719544,0.0220825954394984,0.0421928399728419,0.877282026421877
Camsap1,1321.0176507562,-0.119998298032535,0.0533076329337964,-2.32177979942196,0.02024479550826,0.0389542714277102,0.89945135731303
Ambra1,1504.31865196258,-0.125805500940272,0.0543610924539954,-2.39019708764204,0.0168393335899348,0.0331021854894033,0.900609751814032
Ralgapb,2380.09424436573,-0.130685096798953,0.0495439911749756,-2.70985922756295,0.00673117701902705,0.0150485945240953,0.910414604958027
Acvr1,1729.32269146714,-0.132278560150561,0.055876505163026,-2.44981864818299,0.0142928181496977,0.0289841349466918,0.871429604433055
Rbm18,1012.98755245331,-0.134984845404952,0.0605021918211863,-2.32243959642192,0.0202092773447319,0.0389542714277102,0.893361266470432
BC029722,956.635531631287,-0.140742800837432,0.0505377821191007,-2.86475182157826,0.00417336179960385,0.00987665449754403,0.884355582539651
Chst14,1452.79377412022,-0.148110974493344,0.0588686877645052,-2.61445539473741,0.00893698290860094,0.0192082867827388,0.910692820470579
Srxn1,1399.54120169975,-0.149941209274564,0.06001974262803,-2.60001044518172,0.00932209229812651,0.0199811447883222,0.912147927265356
Cdk9,1614.52330888842,-0.150702781408,0.0497595089096862,-3.11350677630413,0.00184878264449669,0.00477967266622249,0.880511446779196
Ubr1,2038.4476897831,-0.152669641336728,0.0588059582614922,-2.69794931724232,0.00697680617988495,0.0154557256029976,0.913642907482062
Tlk1,1244.70355652635,-0.15484940653552,0.0624302770261183,-2.59013262491125,0.00959389623067534,0.0205234133091506,0.89504776712236
Mllt10,1254.57273599912,-0.155016324924962,0.0628835624622656,-2.57583476676218,0.00999984200779155,0.0212803159056814,0.903392233566158
C330006A16Rik,1452.08496887034,-0.156812619875495,0.0698295035513681,-2.37008026905175,0.0177842237917249,0.0348340900480643,0.88810540152345
Mga,2805.80392398024,-0.159837092346875,0.0760309788510509,-2.24048938592694,0.0250591690865977,0.0472185724930537,0.889679366463657
Vps39,1680.15230811852,-0.160954539824127,0.0498738219137752,-3.31892509915608,0.000903646641670557,0.00247087339865308,0.913469673595366
BC005624,1246.92474851389,-0.163699871759392,0.0448046539718169,-3.73764629967166,0.000185751007555311,0.000589111480357105,0.900265045750959
Pdcl,904.997301940856,-0.163991933750457,0.0748680547665841,-2.33048532687207,0.0197805146499826,0.0384679883834778,0.915833428853248
Sp3,2916.60999738009,-0.165292760688786,0.0632673391656503,-2.73232263723265,0.00628895220188018,0.0141177918770602,0.909569459721781
Plcg1,2128.6103336867,-0.166064130563727,0.0499202311009427,-3.42171832373696,0.0006222674346704,0.0017772088251974,0.89991794034174
Ssfa2,1746.59227969178,-0.166424099865224,0.052221519245035,-3.28662612213849,0.00101395357121038,0.00274497108235863,0.890796537436177
Osbpl2,1042.00493399641,-0.166440499877588,0.055573873517874,-3.10105236676377,0.00192834184748188,0.00492591285326823,0.911061097499567
1110051M20Rik,757.732037847706,-0.167956566169139,0.0653064397121947,-2.69760059475554,0.00698411798558918,0.0154557256029976,0.912857843004626
Nacc2,1470.05908546104,-0.169534641085337,0.0640661383336606,-2.77098112963839,0.00558876655797228,0.0127559504492631,0.903930138724476
Pank2,1187.26222909747,-0.169713129669445,0.074765656444555,-2.41525937643466,0.0157240080136995,0.0312475277649291,0.904250016176004
Atrn,2368.70848848058,-0.174224633807339,0.0512662178681614,-3.50167895304575,0.000462336366031279,0.00136326750091926,0.916404326138158
Cep250,1409.2347892646,-0.174282529746872,0.0640363635957423,-2.85027669307737,0.0043681211151413,0.0102775067115245,0.910507535865747
Tsc1,1418.69169912926,-0.175876012892091,0.0776051581930649,-2.42309333894945,0.0153889721238473,0.0306375339180975,0.895556010380847
Ccdc32,449.076660850184,-0.17593106735644,0.075456840310284,-2.48419216092947,0.0129845719408548,0.0268298636126374,0.909474569333242
