,s1.c2,s10.c2,s11.c2,s12.c2,s2.c2,s3.c2,s4.c2,s5.c2,s6.c2,s7.c2,s8.c2,s9.c2
Pcmtd2,10.3776724499403,10.4413815171032,10.3220233153894,10.3963351592191,10.3222037579267,10.4863375143774,10.3815870349833,10.1078747855832,10.1098603791504,10.0650848244134,10.0955234599778,10.3878984186567
Ncoa3,11.6392509941596,11.6320320985138,11.5514352989786,11.581215370485,11.615592317992,11.661672596248,11.5678714310098,11.4086649156052,11.379421205702,11.4139377269812,11.477958820713,11.579129712443
Ncoa6,11.0088815354391,10.9261036016747,10.9398258891373,10.9003112596739,11.0339477012223,10.9709306188243,11.061801572775,10.9139871971538,10.9730003277989,11.0222951227344,10.970938798247,11.0101828981031
Ncoa5,10.4388015987016,10.370768942749,10.4592149116331,10.4692638938414,10.40635106065,10.451166665523,10.3404976964694,10.3917188202269,10.4189771546959,10.2857155809387,10.3863355677841,10.3655767391664
Csnk2a1,11.3967581684322,11.3116156505214,11.3247007559417,11.3470421363466,11.4490550991202,11.4362826006663,11.426582454276,11.4219667071559,11.3865401905183,11.3862275835519,11.3735863495374,11.3284860645718
Nup35,8.98974175625323,9.00568571422772,9.07152092318732,9.00998955605248,9.01032627710899,8.93890156566191,9.07613274034577,9.19819475671663,9.19183294495741,9.19742244744488,9.12172263989586,9.01990842332425
Defb25,3.55491482798204,3.55596373288173,3.51584773963543,3.53884641434929,3.54106118662543,3.58439781464574,3.55218902040507,3.51535848673055,3.51819547878467,3.51497484401066,3.52418496353748,3.54494708357923
Exd1,4.18161401037362,4.22113363702025,4.23289165800131,4.19148516309978,4.20190262992029,4.21198378919731,4.19220967451425,4.2584948950738,4.20458771407129,4.18274853381322,4.24392914339781,4.18751507556441
Naif1,6.90463300341049,6.82669578002457,6.83290972952889,6.84823551775313,6.76494311558841,6.8402894913477,6.75394795422979,6.72195667982661,6.82083458229277,6.73927425702916,6.81029000592284,6.78588379466865
Ext2,12.1297541645375,12.0914059068056,12.1331476273485,12.1103334680802,12.1022168608297,12.113086574946,12.1411025976176,12.2075548234283,12.2582136697266,12.2056022350674,12.2004003716641,12.1145274493961
Olfr1034,4.56957331301167,4.52762188023778,4.54528726163821,4.59056248892259,4.58821956940065,4.5709314879607,4.55013349710184,4.51999642636313,4.5173963286307,4.51701902867022,4.4925417922447,4.54366803889433
Olfr1033,8.64272430388539,8.59211023036811,8.4781938441831,8.63078485157569,8.76059964161771,8.653758303402,8.59448932983921,8.48479196613165,8.36933261395291,8.59009033835362,8.49676830452383,8.59452621592167
Olfr1032,4.53281253493032,4.54818747056387,4.57477214134848,4.57690955190196,4.59123852974974,4.54212771157977,4.53199881047855,4.52802190121631,4.48288070828446,4.50540685566982,4.51339834621756,4.56147227245143
Ryr3,6.45162484010163,6.70081157533626,6.6720524495001,6.8184815514288,6.40697298363244,6.47774743549873,6.30768796045371,6.3033071331014,6.38966076311566,6.34764543708552,6.37127581020184,6.74251334888132
Sdc4,13.0174007969834,12.9950073411679,12.8681301891406,12.7635982471198,12.9850160511846,12.9454048050389,12.904466082073,13.0771785818032,12.9243942987611,13.0908826969341,13.2363533619209,12.8098383123271
Sdccag3,10.9291174730529,10.881945278801,10.8669655627534,10.8992698743855,10.9030372330468,10.9312299077116,10.877132878438,10.719605723732,10.7391013869014,10.7258884282841,10.7476811459256,10.8753607019643
Itgav,11.3411511634278,11.3069854418034,11.322938716976,11.3266042316792,11.3367966218975,11.4145902129047,11.4787991597825,11.3844128485003,11.4831536091157,11.389406742936,11.3215322813548,11.4013716608885
Camk1d,7.39712557793902,7.51058315547451,7.49687984834794,7.67208035764312,7.50565995328975,7.56426959695002,7.48742378402989,7.27388252176047,7.28775907626145,7.24285273972775,7.1444980433527,7.63299408532622
Tspyl3,8.27532280571463,8.40163688007198,8.42555058372839,8.37252017572668,8.33092116065243,8.29163788711535,8.38186835129481,8.22787476722339,8.19684769198273,8.21221726186341,8.17501720568565,8.42620815976913
Gata5os,4.13262323708804,4.09781799871673,4.1264941085026,4.09570518284095,4.09632848786201,4.06297188069132,4.08468091354115,4.03039356694778,4.03157576328395,4.03625626066877,4.0453361534806,4.06270544582687
Phf19,6.30770729655196,6.28798664655945,6.30641210089445,6.31428462043302,6.16140256130674,6.2575434456098,6.33073781560123,6.65777251859504,6.83579226098772,6.72122592234967,6.64015903281967,6.31970165370691
Gpd2,9.11040235529236,9.17702611229736,9.09411401178793,9.11238647322755,9.05448296171189,9.13589799233517,9.19008600335965,9.17330878292609,9.17342586466093,9.17492293454708,9.10246246208298,9.12122380045172
Gle1,10.4816660064032,10.5051858298353,10.536686235044,10.5271964796705,10.4621391228478,10.4740364510363,10.5007529571647,10.4591675360934,10.5167746877306,10.4733769543335,10.4561502035786,10.5432660979172
Itga8,15.0563594082758,15.0859274768944,15.0289601387152,14.8521992675471,14.8561072972248,14.9280404431886,15.0316351383862,14.5060462835668,14.5198218887702,14.5048560809856,14.5780222569561,14.8994509710467
Cep152,7.71070997898778,7.78555130336334,7.78852409319574,7.7811434315604,7.73593789800976,7.79134557192189,7.7703634793702,7.82292903565111,7.77541601218873,7.71703554844421,7.74539830263123,7.76326619892294
Ralgds,11.4813633247158,11.459067353288,11.5201314656079,11.6182525784778,11.5081479335818,11.548629917711,11.3563517422456,11.2272340762802,11.2780694522245,11.1765233557754,11.270680418371,11.5366873380983
Nop56,10.4798119541036,10.4266213621181,10.4563759035164,10.404799803425,10.4699263237235,10.3909937530347,10.4703677859109,10.6746759652444,10.641375283271,10.6905533125616,10.6627553797767,10.3834350497646
Itga4,3.53811878080482,3.54117621345414,3.50464874770387,3.51467856282515,3.52936227963574,3.54540502107491,3.51074705754614,3.56781394081097,3.57949244250636,3.59997716681745,3.62460531522494,3.54409821398044
Itga6,6.07296477444483,6.10143614616439,6.08038180882506,6.03696995719531,6.10303164154409,6.24929787396566,5.99451605704155,6.13498182457076,6.18077774648293,6.05556585140068,6.35375951995455,6.17729893517581
Man1b1,11.402041487132,11.3458109004233,11.5056954778984,11.4151491104367,11.3661215318783,11.3713789540057,11.3962117318526,11.5022360164113,11.5974437659618,11.4323017663593,11.498015355974,11.40509869472
Fkbp7,11.0029778332808,11.0038731054069,11.0578015903216,11.0071347165971,11.0387804407606,10.9701420513669,11.1098348937892,10.9083705628043,10.9123521566147,10.9270620610937,10.838036092396,11.0436573066971
Gm14005,7.74475730010472,7.73877879867788,7.79443293465165,7.59486984126832,7.71992137219787,7.62309654998746,7.73793600267364,7.90770214076498,7.83855093822385,7.8797216244605,7.96444526515765,7.6447916682299
Cdk9,10.6887274387938,10.6549909712555,10.6934207851623,10.7370203864907,10.7035486262274,10.7121091901429,10.6268259146942,10.5712230761867,10.6037431413373,10.556752763515,10.5984364376354,10.7023322238396
Kcnip3,7.11157010619002,7.28653940642685,7.22997209574431,7.36133830759746,7.14933215942322,7.25645810386444,7.13732895152404,7.28442602340418,7.29669779462175,7.24613916086306,7.23390210135031,7.33657323087761
Pdhx,8.58805445058725,8.63483389120731,8.62867136596084,8.58547145621733,8.63000645576231,8.62684369945376,8.63792202700384,8.76331126360108,8.7487234654047,8.75804874695972,8.79017032915314,8.66219809818597
